| RaterId | Image | Department                | NAttractiveness | gender | age    |
|     188 |     1 | Art                       |      -1.0000000 | -1.000 | 30.000 |
|     188 |     2 | Athletics                 |      -1.0000000 | -0.930 | 24.000 |
|     188 |     3 | Chancellor's Office       |       1.0000000 |  1.000 | 21.000 |
|     188 |     4 | Computer Science          |      -1.0000000 | -1.000 | 31.000 |
|     188 |     5 | Economics                 |      -1.0000000 | -1.000 | 21.000 |
|     188 |     6 | Finance                   |       0.5000000 |  1.000 | 29.000 |
|     188 |     7 | History                   |      -1.0000000 | -0.500 | 25.000 |
|     188 |     8 | Human Resources           |       0.0000000 |  0.820 | 27.000 |
|     188 |     9 | Language & Literature     |      -1.0000000 |  0.000 | 26.000 |
|     188 |    10 | Mathematics               |      -1.0000000 | -1.000 | 28.000 |
|     188 |    11 | New Media                 |      -0.5000000 |  0.540 | 34.000 |
|     188 |    12 | Physics                   |      -1.0000000 | -1.000 | 28.000 |
|     188 |    13 | Provost Office            |      -1.0000000 |  0.000 | 32.000 |
|     188 |    14 | Registrar                 |      -1.0000000 | -0.800 | 40.000 |
|     188 |    15 | Sociology                 |      -1.0000000 |  0.000 | 32.000 |
|      19 |     1 | Art                       |       0.5789474 | -0.440 | 28.000 |
|      19 |     2 | Athletics                 |       1.0000000 | -0.130 | 31.000 |
|      19 |     3 | Chancellor's Office       |       0.6842105 |  0.810 | 32.000 |
|      19 |     4 | Computer Science          |       0.7894737 | -0.740 | 37.000 |
|      19 |     5 | Economics                 |       0.0526316 | -0.840 | 52.000 |
|      19 |     6 | Finance                   |       0.7894737 | -0.730 | 21.000 |
|      19 |     7 | History                   |      -0.3684211 |  0.170 | 43.000 |
|      19 |     8 | Human Resources           |       0.0526316 |  0.520 | 54.000 |
|      19 |     9 | Language & Literature     |       0.8947368 | -0.590 | 37.000 |
|      19 |    10 | Mathematics               |      -0.2631579 | -0.850 | 48.000 |
|      19 |    11 | New Media                 |      -0.2631579 |  0.490 | 49.000 |
|      19 |    12 | Physics                   |       0.6842105 | -0.780 | 45.000 |
|      19 |    13 | Provost Office            |      -0.4736842 |  0.030 | 52.000 |
